qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test3406,8,4,0.5,4,0.5
test3407,8,6,0.75,6,0.75
test3408,8,5,0.625,5,0.625
test3409,8,5,0.625,5,0.625
test3410,8,5,0.625,5,0.625
test3411,11,3,0.2727,3,0.2727
test3412,8,4,0.5,4,0.5
test3413,8,2,0.25,3,0.375
test3414,8,6,0.75,5,0.625
test3415,9,4,0.4444,4,0.4444
test3416,10,2,0.2,2,0.2
test3417,10,7,0.7,8,0.8
test3418,9,4,0.4444,4,0.4444
test3419,9,3,0.3333,3,0.3333
test3420,7,3,0.4286,3,0.4286
test3421,11,4,0.3636,11,1.0
test3422,8,6,0.75,6,0.75
test3423,10,,,10,1.0
test3424,9,5,0.5556,8,0.8889
test3425,8,7,0.875,7,0.875
test3426,10,5,0.5,5,0.5
test3427,9,6,0.6667,6,0.6667
test3428,8,4,0.5,4,0.5
test3429,8,4,0.5,4,0.5
test3430,7,6,0.8571,6,0.8571
test3431,8,7,0.875,5,0.625
test3432,8,,,,
test3433,8,,,,
test3434,8,6,0.75,6,0.75
test3435,12,7,0.5833,7,0.5833
test3436,13,3,0.2308,3,0.2308
test3437,13,7,0.5385,7,0.5385
test3438,7,3,0.4286,3,0.4286
test3439,10,5,0.5,5,0.5
test3440,8,8,1.0,,
test3441,8,7,0.875,7,0.875
test3442,8,2,0.25,2,0.25
test3443,8,4,0.5,4,0.5
test3444,8,5,0.625,5,0.625
test3445,8,,,,
test3446,7,,,,
test3447,8,5,0.625,4,0.5
test3448,9,3,0.3333,3,0.3333
test3449,10,3,0.3,3,0.3
test3450,8,5,0.625,5,0.625
test3451,8,3,0.375,2,0.25
